ticker,form,filing_date,ret_21d,ret_21d_spy,ret_21d_excess,status
NDSN,10-K,2017-12-15,0.03252557283448221,0.04739026244635092,-0.014864689611868709,ok
DE,10-K,2017-12-18,0.1098864880760666,0.04552562791563286,0.06436086016043374,ok
FDX,10-Q,2017-12-20,0.08344276129156536,0.06089204436453666,0.022550716927028702,ok
CTAS,10-Q,2018-01-05,-0.03272736640059082,-0.015690336023478024,-0.017037030377112794,ok
AYI,10-Q,2018-01-09,-0.0786506672494598,-0.06159396058318023,-0.017056706666279564,ok
INFO,10-K,2018-01-23,,-0.04550115257258558,,missing_price
URI,10-K,2018-01-24,-0.03465928096670057,-0.029910269496775665,-0.004749011469924902,ok
KSU,10-K,2018-01-26,,-0.042396249087374716,,missing_price
COL,10-Q,2018-01-26,-0.1538461273943874,-0.042396249087374716,-0.1114498783070127,ok
NOC,10-K,2018-01-29,0.03458060605185853,-0.0457709124715564,0.08035151852341493,ok
ROK,10-Q,2018-01-31,-0.09058427600495855,-0.045476719203155436,-0.04510755680180312,ok
FAST,10-K,2018-02-05,0.08797552188123725,0.03353197436768163,0.054443547513555623,ok
NSC,10-K,2018-02-05,0.015222548816748338,0.03353197436768163,-0.01830942555093329,ok
LMT,10-K,2018-02-06,0.01809692249928796,0.01846683346072231,-0.00036991096143434987,ok
J,10-Q,2018-02-07,-0.07675177783903908,0.04184231086620538,-0.11859408870524446,ok
LUV,10-K,2018-02-07,0.03347927305322074,0.04184231086620538,-0.008363037812984642,ok
CSX,10-K,2018-02-07,0.09934704678291295,0.04184231086620538,0.05750473591670757,ok
MAS,10-K,2018-02-08,0.043488946603793766,0.081085201879187,-0.03759625527539323,ok
MMM,10-K,2018-02-08,0.08221136348993241,0.081085201879187,0.001126161610745413,ok
NLSN,10-K,2018-02-08,,0.081085201879187,,missing_price
DOV,10-K,2018-02-09,0.038264601724393055,0.05820248089609503,-0.019937879171701978,ok
BA,10-K,2018-02-12,-0.039383283267232505,0.037536934873948935,-0.07692021814118144,ok
GD,10-K,2018-02-12,0.05803413649445299,0.037536934873948935,0.020497201620504057,ok
TT,10-K,2018-02-12,-0.023451827589163643,0.037536934873948935,-0.06098876246311258,ok
CMI,10-K,2018-02-14,-0.01425969190067966,0.021173197649474673,-0.035432889550154334,ok
RTN,10-K,2018-02-14,,0.021173197649474673,,missing_price
HUBB,10-K,2018-02-15,-0.0741529317115156,-0.005334828767244781,-0.06881810294427082,ok
HII,10-K,2018-02-15,-0.0027923079402837336,-0.005334828767244781,0.0025425208269610478,ok
ALK,10-K,2018-02-15,-0.011389536923784194,-0.005334828767244781,-0.006054708156539412,ok
SNA,10-K,2018-02-15,-0.06810022839828767,-0.005334828767244781,-0.06276539963104288,ok
ITW,10-K,2018-02-15,0.026138411892532076,-0.005334828767244781,0.03147324065977686,ok
LII,10-K,2018-02-16,0.01881010698213137,-0.003935757239515669,0.02274586422164704,ok
IR,10-K,2018-02-16,-0.009132413215156787,-0.003935757239515669,-0.005196655975641118,ok
AOS,10-K,2018-02-16,0.0025938928256794558,-0.003935757239515669,0.006529650065195125,ok
VRSK,10-K,2018-02-20,0.08254341198147896,0.0004166189423511213,0.08212679303912784,ok
FLR,10-K,2018-02-20,0.00814233183401325,0.0004166189423511213,0.007725712891662129,ok
ALLE,10-K,2018-02-20,0.0057218172416142465,0.0004166189423511213,0.005305198299263125,ok
R,10-K,2018-02-20,0.01584576658723935,0.0004166189423511213,0.01542914764488823,ok
PCAR,10-K,2018-02-21,-0.0707887953948464,-0.019714325005307343,-0.05107447038953905,ok
AAL,10-K,2018-02-21,-0.008904867195233646,-0.019714325005307343,0.010809457810073697,ok
UPS,10-K,2018-02-21,-0.002387547592554551,-0.019714325005307343,0.017326777412752792,ok
UAL,10-K,2018-02-22,0.010344864662312991,-0.04185094091359187,0.05219580557590486,ok
AME,10-K,2018-02-22,-0.022573228178968785,-0.04185094091359187,0.019277712734623087,ok
EXPD,10-K,2018-02-23,-0.04868731710454799,-0.03108094704521014,-0.01760637005933785,ok
XYL,10-K,2018-02-23,0.02568159237333867,-0.03108094704521014,0.05676253941854881,ok
LDOS,10-K,2018-02-23,0.0015867801779225754,-0.03108094704521014,0.032667727223132714,ok
DAL,10-K,2018-02-23,0.02992894825587933,-0.03108094704521014,0.06100989530108947,ok
ROL,10-K,2018-02-26,-0.019447686083029492,-0.058496774680818264,0.03904908859778877,ok
ODFL,10-K,2018-02-27,0.024511984993007774,-0.049409143319237736,0.07392112831224551,ok
CPRT,10-Q,2018-02-27,0.045311595239718505,-0.049409143319237736,0.09472073855895624,ok
PNR,10-K,2018-02-27,-0.03756710759673454,-0.049409143319237736,0.011842035722503197,ok
SWK,10-K,2018-02-27,-0.06310481339777607,-0.049409143319237736,-0.013695670078538336,ok
FTV,10-K,2018-02-28,0.009375000254050692,-0.027410449524243985,0.03678544977829468,ok
ETN,10-K,2018-02-28,-0.0016686585637656348,-0.027410449524243985,0.02574179096047835,ok
CHRW,10-K,2018-02-28,0.008718851351217749,-0.027410449524243985,0.036129300875461734,ok
PWR,10-K,2018-02-28,-0.0026131100865642853,-0.027410449524243985,0.0247973394376797,ok
FLS,10-K,2018-02-28,0.02777268020395729,-0.027410449524243985,0.055183129728201274,ok
FBIN,10-K,2018-02-28,-0.029179554186410495,-0.027410449524243985,-0.0017691046621665096,ok
BLDR,10-K,2018-03-01,-0.11514867732711609,-0.03436238801998737,-0.08078628930712872,ok
EFX,10-K,2018-03-01,0.03427646246517391,-0.03436238801998737,0.06863885048516127,ok
AXON,10-K,2018-03-01,0.04749272965637252,-0.03436238801998737,0.08185511767635989,ok
DE,10-Q,2018-03-01,-0.027989221834708755,-0.03436238801998737,0.0063731661852786115,ok
NDSN,10-Q,2018-03-05,-0.001324114539566823,-0.02782769435669563,0.02650357981712881,ok
ADT,10-K,2018-03-15,0.010799799409126898,-0.02399764365944468,0.034797443068571576,ok
FDX,10-Q,2018-03-21,-0.007630028851440596,-0.01412571481841518,0.006495685966974585,ok
INFO,10-Q,2018-03-27,,0.02191093333033778,,missing_price
AYI,10-Q,2018-04-04,-0.13901128702825571,-0.0035664573982593373,-0.13544482962999638,ok
CTAS,10-Q,2018-04-06,0.05403617923811255,0.027722129733939394,0.026314049504173154,ok
DAL,10-Q,2018-04-12,0.004424545117100553,0.026021856608598126,-0.021597311491497573,ok
FAST,10-Q,2018-04-16,0.043783509608087634,0.01410265304493663,0.029680856563151004,ok
CSX,10-Q,2018-04-18,0.04114117899720382,0.00599120444263912,0.0351499745545647,ok
SNA,10-Q,2018-04-19,-0.009461246752210384,0.009074403305916912,-0.018535650058127295,ok
KSU,10-Q,2018-04-20,,0.025355848469720943,,missing_price
PNR,10-Q,2018-04-20,-0.01719639911102322,0.025355848469720943,-0.04255224758074416,ok
HON,10-Q,2018-04-20,0.004540733779242467,0.025355848469720943,-0.020815114690478476,ok
LII,10-Q,2018-04-23,0.028262903625385194,0.02265832826233294,0.0056045753630522555,ok
SWK,10-Q,2018-04-23,0.03565892752290045,0.02265832826233294,0.013000599260567514,ok
MAS,10-Q,2018-04-24,0.03816397026659413,0.039470573883494176,-0.0013066036169000483,ok
GD,10-Q,2018-04-25,-0.027035935299034475,0.03478334594972132,-0.0618192812487558,ok
TXT,10-Q,2018-04-25,0.05420713349815598,0.03478334594972132,0.019423787548434657,ok
BA,10-Q,2018-04-25,0.05229799589593309,0.03478334594972132,0.01751464994621177,ok
HUBB,10-Q,2018-04-25,0.030395291148098025,0.03478334594972132,-0.004388054801623298,ok
NOC,10-Q,2018-04-25,0.0005711394776122258,0.03478334594972132,-0.0342122064721091,ok
TT,10-Q,2018-04-25,0.05765638283755581,0.03478334594972132,0.022873036887834486,ok
NSC,10-Q,2018-04-25,0.05349046331410712,0.03478334594972132,0.018707117364385795,ok
LMT,10-Q,2018-04-25,-0.009560116784351647,0.03478334594972132,-0.04434346273407297,ok
ALLE,10-Q,2018-04-26,0.0025454249989562694,0.02192946381668537,-0.0193840388177291,ok
EFX,10-Q,2018-04-26,-0.003194945935051985,0.02192946381668537,-0.025124409751737353,ok
NLSN,10-Q,2018-04-26,,0.02192946381668537,,missing_price
FTV,10-Q,2018-04-26,0.045792605258301755,0.02192946381668537,0.023863141441616387,ok
AAL,10-Q,2018-04-26,0.06242700969669879,0.02192946381668537,0.04049754588001342,ok
UNP,10-Q,2018-04-26,0.09744337503732048,0.02192946381668537,0.07551391122063511,ok
RTN,10-Q,2018-04-26,,0.02192946381668537,,missing_price
IR,10-Q,2018-04-27,0.024183321242924327,0.009228013843248117,0.01495530739967621,ok
COL,10-Q,2018-04-27,0.22222216703273845,0.009228013843248117,0.21299415318949033,ok
DOV,10-Q,2018-04-27,0.01115012561006723,0.009228013843248117,0.0019221117668191123,ok
GE,10-Q,2018-05-01,0.0021351805537228596,0.022491961679124373,-0.020356781125401513,ok
ETN,10-Q,2018-05-01,0.04630913681494153,0.022491961679124373,0.02381717513581716,ok
CMI,10-Q,2018-05-01,-0.06417963106993196,0.022491961679124373,-0.08667159274905634,ok
R,10-Q,2018-05-02,0.014832191478045598,0.039513668862728224,-0.024681477384682626,ok
FBIN,10-Q,2018-05-02,0.04452461243762129,0.039513668862728224,0.0050109435748930675,ok
CAT,10-Q,2018-05-02,0.06714842815313693,0.039513668862728224,0.027634759290408706,ok
RSG,10-Q,2018-05-03,0.010112935086270092,0.046759651527743085,-0.03664671644147299,ok
HII,10-Q,2018-05-03,0.08526634376678399,0.046759651527743085,0.03850669223904091,ok
FLR,10-Q,2018-05-03,-0.16973163396363455,0.046759651527743085,-0.21649128549137764,ok
AME,10-Q,2018-05-03,0.06758120154898539,0.046759651527743085,0.020821550021242308,ok
PCAR,10-Q,2018-05-04,0.014012473373225864,0.034132813679846885,-0.02012034030662102,ok
LDOS,10-Q,2018-05-04,0.02960265119121641,0.034132813679846885,-0.004530162488630474,ok
ALK,10-Q,2018-05-04,-0.019450289145533928,0.034132813679846885,-0.05358310282538081,ok
ITW,10-Q,2018-05-04,0.0011681265188019374,0.034132813679846885,-0.03296468716104495,ok
AOS,10-Q,2018-05-07,0.014192614664373382,0.039262651215214994,-0.025070036550841612,ok
ODFL,10-Q,2018-05-07,0.14321012095117314,0.039262651215214994,0.10394746973595814,ok
MMM,10-Q,2018-05-08,0.023458824648860066,0.03915033230848519,-0.015691507659625126,ok
