ticker,form,filing_date,ret_21d,status
AMAT,10-Q,2023-05-26,0.05857718179783511,ok
AMAT,10-Q,2017-05-25,-0.039315885351967284,ok
AMAT,10-Q,2016-05-26,-0.0606825260401026,ok
AMAT,10-Q,2020-05-21,0.11359513870357185,ok
AMAT,10-Q,2022-08-25,-0.21009522653016555,ok
AMAT,10-K,2020-12-11,0.11041908183044646,ok
AMAT,10-K,2017-12-15,0.09250075386055956,ok
AMAT,10-Q,2024-05-23,0.07487956824376418,ok
AMAT,10-K,2021-12-17,-0.021073999877697203,ok
AMAT,10-Q,2021-02-25,0.12911463474268525,ok
AMAT,10-Q,2025-08-21,,missing
AMAT,10-Q,2024-08-22,-0.030769262758314264,ok
AMAT,10-Q,2021-08-26,0.07736416911420974,ok
AMAT,10-K,2018-12-13,0.001186500381340272,ok
AMAT,10-Q,2020-08-20,-0.10142671885542454,ok
AMAT,10-Q,2018-08-23,-0.08623522648179716,ok
AMAT,10-Q,2017-08-24,0.05969799803696341,ok
AMAT,10-Q,2024-02-27,0.025337671736621825,ok
AMAT,10-Q,2025-05-22,0.12247688820780245,ok
AMAT,10-K,2019-12-13,0.03440788384929028,ok
AMAT,10-Q,2023-08-24,-0.04160822860262148,ok
AMAT,10-Q,2019-05-23,0.059840222966265566,ok
AMAT,10-K,2015-12-09,-0.12348909815553755,ok
AMAT,10-Q,2022-02-24,0.02728216103417913,ok
AMAT,10-Q,2020-02-20,-0.4278615160035937,ok
AMD,10-K,2025-02-05,-0.10445499825459126,ok
AMD,10-Q,2019-07-31,0.03284072167305485,ok
AMD,10-K,2024-01-31,0.20842027812871144,ok
AMD,10-Q,2023-08-02,-0.03319613446795844,ok
AMD,10-K,2017-02-21,0.007142884390694659,ok
AMD,10-Q,2016-04-28,0.2742382377577506,ok
AMD,10-Q,2019-10-30,0.18170842932925235,ok
AMD,10-K,2020-02-04,-0.02709808153516069,ok
AMD,10-Q,2021-07-28,0.09537420921867379,ok
AMD,10-K,2023-02-27,0.20045704695249889,ok
AMD,10-Q,2022-05-04,0.0692014183215055,ok
AMD,10-Q,2018-05-03,0.3586459256032841,ok
AMD,10-Q,2016-10-26,0.2030179017359619,ok
AMD,10-K,2022-02-03,-0.14265493522321382,ok
AMD,10-Q,2020-04-29,0.0026090083870022873,ok
AMD,10-Q,2021-10-27,0.2660287790647615,ok
AMD,10-Q,2025-05-07,0.15773218149444612,ok
AMD,10-K,2021-01-29,-0.017631972757965575,ok
AMD,10-Q,2015-11-03,-0.02192980392267585,ok
AMD,10-Q,2024-05-01,0.15685859120989276,ok
AMD,10-Q,2017-11-02,-0.0755760939786676,ok
AMD,10-Q,2023-11-01,0.12356533099771982,ok
AMD,10-Q,2022-11-02,0.27886750794739434,ok
AMD,10-Q,2025-08-06,-0.07344284015538671,ok
AMD,10-Q,2024-07-31,0.006990654730705259,ok
AMD,10-Q,2018-10-31,0.16968700208352439,ok
AMD,10-Q,2020-07-29,0.10132746858903219,ok
AMD,10-Q,2017-08-03,-0.003776449516557756,ok
AMD,10-Q,2022-08-03,-0.16066872357245776,ok
AMD,10-Q,2016-07-26,0.0644698865380331,ok
AMD,10-Q,2020-10-28,0.14123037565480234,ok
AMD,10-Q,2024-10-30,-0.07685069285783963,ok
AMD,10-K,2019-02-08,0.019088960894635187,ok
AMD,10-Q,2017-05-08,0.2330677451672032,ok
AMD,10-Q,2018-08-02,0.33954224853147363,ok
AMD,10-K,2016-02-18,0.5340314753722653,ok
AMD,10-Q,2019-05-01,0.022379723738224166,ok
AMD,10-Q,2021-04-28,-0.06665078193124663,ok
AMD,10-Q,2023-05-03,0.44400878025316093,ok
AMD,10-K,2018-02-27,-0.21707896020118345,ok
ANET,10-Q,2024-07-31,0.00011544812099595347,ok
ANET,10-Q,2022-05-03,-0.06919231319926078,ok
ANET,10-Q,2018-05-04,0.12119974118902244,ok
ANET,10-K,2020-02-14,-0.247326280800774,ok
ANET,10-Q,2016-05-05,0.17426866171688005,ok
